dataset	model	lang1	lang2	mrr
nusax	xlmr	banjarese	sundanese	0.033681262269933746
nusax	xlmr	banjarese	banjarese	0.0
nusax	xlmr	banjarese	acehnese	0.023403617574239814
nusax	xlmr	banjarese	madurese	0.018711179230858743
nusax	xlmr	banjarese	balinese	0.04416905300795263
nusax	xlmr	banjarese	buginese	0.004747584517011614
nusax	xlmr	banjarese	ngaju	0.0900057816968873
nusax	xlmr	banjarese	javanese	0.024452562677234748
nusax	xlmr	banjarese	minangkabau	0.17694035451263085
nusax	xlmr	banjarese	toba_batak	0.021484603327500927
nusax	xlmr	banjarese	english	0.0009119029918846515
nusax	xlmr	banjarese	indonesian	0.04214284854839657
nusax	xlmr	acehnese	sundanese	0.016357334314498883
nusax	xlmr	acehnese	banjarese	0.03183626149611909
nusax	xlmr	acehnese	acehnese	0.0
nusax	xlmr	acehnese	madurese	0.02086366784509942
nusax	xlmr	acehnese	balinese	0.022001710763041193
nusax	xlmr	acehnese	buginese	0.010637100716483836
nusax	xlmr	acehnese	ngaju	0.038279326013784004
nusax	xlmr	acehnese	javanese	0.013196844517929596
nusax	xlmr	acehnese	minangkabau	0.055901717102602534
nusax	xlmr	acehnese	toba_batak	0.02038420371287943
nusax	xlmr	acehnese	english	0.001152310499224045
nusax	xlmr	acehnese	indonesian	0.0076495394561214795
nusax	xlmr	madurese	sundanese	0.020364812498282706
nusax	xlmr	madurese	banjarese	0.016922443834356996
nusax	xlmr	madurese	acehnese	0.019930739585895585
nusax	xlmr	madurese	madurese	0.0
nusax	xlmr	madurese	balinese	0.02876440815098202
nusax	xlmr	madurese	buginese	0.02345319083107958
nusax	xlmr	madurese	ngaju	0.020921214254676905
nusax	xlmr	madurese	javanese	0.01946549296232496
nusax	xlmr	madurese	minangkabau	0.031235951153837496
nusax	xlmr	madurese	toba_batak	0.021658706045413385
nusax	xlmr	madurese	english	0.00017664036897659327
nusax	xlmr	madurese	indonesian	0.0029700045826316647
nusax	xlmr	balinese	sundanese	0.04934872059134097
nusax	xlmr	balinese	banjarese	0.04809771000938946
nusax	xlmr	balinese	acehnese	0.02160303139070123
nusax	xlmr	balinese	madurese	0.028071252372098683
nusax	xlmr	balinese	balinese	0.0
nusax	xlmr	balinese	buginese	0.008755024286316108
nusax	xlmr	balinese	ngaju	0.044156918094753916
nusax	xlmr	balinese	javanese	0.08889889058995998
nusax	xlmr	balinese	minangkabau	0.06449330538103983
nusax	xlmr	balinese	toba_batak	0.02665949815020498
nusax	xlmr	balinese	english	0.0003551221348531921
nusax	xlmr	balinese	indonesian	0.012897808313233389
nusax	xlmr	buginese	sundanese	0.0049178311536027235
nusax	xlmr	buginese	banjarese	0.005245568570903707
nusax	xlmr	buginese	acehnese	0.008122070661167704
nusax	xlmr	buginese	madurese	0.02298107877837623
nusax	xlmr	buginese	balinese	0.006847124279062853
nusax	xlmr	buginese	buginese	0.0
nusax	xlmr	buginese	ngaju	0.004908195429520054
nusax	xlmr	buginese	javanese	0.00313950448287333
nusax	xlmr	buginese	minangkabau	0.007067902995792405
nusax	xlmr	buginese	toba_batak	0.01928124823536393
nusax	xlmr	buginese	english	0.0001590616034249807
nusax	xlmr	buginese	indonesian	0.0006340316599259095
nusax	xlmr	ngaju	sundanese	0.021057259754679116
nusax	xlmr	ngaju	banjarese	0.1051257190316654
nusax	xlmr	ngaju	acehnese	0.029549992795007824
nusax	xlmr	ngaju	madurese	0.01849793109288743
nusax	xlmr	ngaju	balinese	0.04577732472383194
nusax	xlmr	ngaju	buginese	0.004585342816991411
nusax	xlmr	ngaju	ngaju	0.0
nusax	xlmr	ngaju	javanese	0.022767631770129776
nusax	xlmr	ngaju	minangkabau	0.09486074153796556
nusax	xlmr	ngaju	toba_batak	0.021700676589281827
nusax	xlmr	ngaju	english	0.00036370733837706536
nusax	xlmr	ngaju	indonesian	0.014220862067448162
nusax	xlmr	javanese	sundanese	0.046220043605676164
nusax	xlmr	javanese	banjarese	0.031070389178066624
nusax	xlmr	javanese	acehnese	0.015143856605160764
nusax	xlmr	javanese	madurese	0.020916314828620476
nusax	xlmr	javanese	balinese	0.09348145553450173
nusax	xlmr	javanese	buginese	0.004066434419329175
nusax	xlmr	javanese	ngaju	0.025958698913486625
nusax	xlmr	javanese	javanese	0.0
nusax	xlmr	javanese	minangkabau	0.04452465493681672
nusax	xlmr	javanese	toba_batak	0.01279737064953355
