ID	Name	ISO639P3code	Classification
milt1241	Miltu	mlj	afro1255/chad1250/east2632/east2633/east2710/soko1265/milt1242
boor1242	Boor	bvf	afro1255/chad1250/east2632/east2633/east2710/soko1265/milt1242
bare1279	Barain	bva	afro1255/chad1250/east2632/east2633/bara1406
kaja1254	Kajakse	ckq	afro1255/chad1250/east2632/east2633/east2709/mubi1247
zire1244	Zirenkel	zrn	afro1255/chad1250/east2632/east2633/east2709/mubi1247
masm1239	Masmaje	mes	afro1255/chad1250/east2632/east2633/east2709/mubi1247
mubi1246	Mubi	mub	afro1255/chad1250/east2632/east2633/east2709/mubi1247
mabi1242	Mabire	muj	afro1255/chad1250/east2632/east2633/east2709/dang1275
tora1267	Toram	trj	afro1255/chad1250/east2632/east2633/east2709/dang1275/birg1240
mogu1251	Mogum	mou	afro1255/chad1250/east2632/east2633/east2709/dang1275/birg1240
birg1239	Birgit	btf	afro1255/chad1250/east2632/east2633/east2709/dang1275/birg1240
dang1274	Dangaleat	daa	afro1255/chad1250/east2632/east2633/east2709/dang1275/dang1276
miga1249	Migaama	mmy	afro1255/chad1250/east2632/east2633/east2709/dang1275/dang1276
bidi1241	Bidiyo	bid	afro1255/chad1250/east2632/east2633/east2709/dang1275/dang1276
jonk1238	Jonkor Bourmataguil	jeu	afro1255/chad1250/east2632/east2633/east2709/dang1275/dang1276/unun9877
gada1262	Gadang	gdk	afro1255/chad1250/east2632/east2640/east2775
tuma1260	Tumak	tmc	afro1255/chad1250/east2632/east2640/east2775/east2643/ndam1255
ndam1251	Ndam	ndm	afro1255/chad1250/east2632/east2640/east2775/east2643/ndam1255
mire1238	Mire	mvh	afro1255/chad1250/east2632/east2640/east2775/east2643/ndam1255
saru1245	Sarua	swy	afro1255/chad1250/east2632/east2640/east2775/east2643/sarw1240
somr1248	Somrai	sor	afro1255/chad1250/east2632/east2640/east2775/east2643/sarw1240
kwan1285	Kwang	kvi	afro1255/chad1250/east2632/east2640/east2641
kera1255	Kera	ker	afro1255/chad1250/east2632/east2640/east2641
toba1280	Tobanga	tng	afro1255/chad1250/east2632/east2640/east2645/east2722
kaba1292	Kabalai	kvf	afro1255/chad1250/east2632/east2640/east2645/east2722
kimr1241	Kimre	kqp	afro1255/chad1250/east2632/east2640/east2645/east2722/gabr1256
gabr1253	Gabri	gab	afro1255/chad1250/east2632/east2640/east2645/east2722/gabr1256
nanc1253	Nancere	nnc	afro1255/chad1250/east2632/east2640/east2645/east2721
lele1276	Lele (Chad)	lln	afro1255/chad1250/east2632/east2640/east2645/east2721
akka1240	Akkadian	akk	afro1255/semi1276/east2678
ebla1238	Eblaite	xeb	afro1255/semi1276/east2678
sheh1240	Jibbali	shv	afro1255/semi1276/west2786/mode1252/east2766
soqo1240	Soqotri	sqt	afro1255/semi1276/west2786/mode1252/east2766
hoby1242	Hobyót	hoh	afro1255/semi1276/west2786/mode1252/hoby1243
bath1244	Bathari	bhm	afro1255/semi1276/west2786/mode1252/hoby1243/west2859
mehr1241	Mehri	gdq	afro1255/semi1276/west2786/mode1252/hoby1243/west2859
hars1241	Harsusi	hss	afro1255/semi1276/west2786/mode1252/hoby1243/west2859
olda1245	Old Aramaic-Sam'alian	oar	afro1255/semi1276/west2786/cent2236/nort3165/aram1259
impe1235	Imperial Aramaic (700-300 BCE)	arc	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236
west2763	Western Neo-Aramaic	amw	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/west2815
clas1252	Classical Syriac	syc	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680
boht1238	Gardabani Bohtan Neo-Aramaic	bhn	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/boht1239
hert1241	Hertevin	hrt	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/boht1239
turo1239	Turoyo	tru	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/turo1240
mlah1239	Mlahsô	lhs	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/turo1240
assy1241	Assyrian Neo-Aramaic	aii	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241
chal1275	Chaldean Neo-Aramaic	cld	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241
jewi1240	Jewish Babylonian Aramaic (ca. 200-1200 CE)	tmr	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241
lish1246	Lishán Didán	trg	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241/tran1290
hula1244	Hulaulá	huy	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241/tran1290
koys1242	Koy Sanjaq Jewish Neo-Aramaic	kqd	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241/tran1290/sout3213
lish1245	Lishanid Noshan	aij	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241/tran1290/sout3213
lish1247	Lishana Deni	lsd	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241/nort3242
barz1241	Barzani Jewish Neo-Aramaic	bjf	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241/nort3242
clas1253	Classical Mandaic	myz	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/mand1468
nucl1706	Neo-Mandaic	mid	afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/mand1468
sama1313	Samaritan	smp	afro1255/semi1276/west2786/cent2236/nort3165/cana1267/hebr1246
anci1244	Ancient Hebrew	hbo	afro1255/semi1276/west2786/cent2236/nort3165/cana1267/hebr1246
hebr1245	Modern Hebrew	heb	afro1255/semi1276/west2786/cent2236/nort3165/cana1267/hebr1246
ugar1238	Ugaritic	uga	afro1255/semi1276/west2786/cent2236/nort3165/cana1267/ugar1239
phoe1239	Phoenician	phn	afro1255/semi1276/west2786/cent2236/nort3165/cana1267/ugar1239/phoe1238
puni1241	Punic	xpu	afro1255/semi1276/west2786/cent2236/nort3165/cana1267/ugar1239/phoe1238
qata1238	Qatabanian	xqt	afro1255/semi1276/west2786/cent2236/sayh1236
saba1279	Sabaic	xsa	afro1255/semi1276/west2786/cent2236/sayh1236
mina1279	Minaean	inm	afro1255/semi1276/west2786/cent2236/sayh1236
hadr1235	Hadrami	xhd	afro1255/semi1276/west2786/cent2236/sayh1236
jaba1234	Jabal Razih	rzh	afro1255/semi1276/west2786/cent2236/sayh1236/mode1270
faif1234	Faifi	fif	afro1255/semi1276/west2786/cent2236/sayh1236/mode1270
anci1245	Ancient North Arabian	xna	afro1255/semi1276/west2786/cent2236/arab1394
stan1318	Standard Arabic	arb	afro1255/semi1276/west2786/cent2236/arab1394/arab1395
hija1235	Hijazi Arabic	acw	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393
shih1239	Shihhi Arabic	ssh	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393
taiz1242	Ta'izzi-Adeni Arabic	acq	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393
hadr1236	Hadrami Arabic	ayh	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393
jude1267	Judeo-Yemeni Arabic	jye	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393/jude1277
sana1295	Sanaani Arabic	ayn	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393/jude1277
gulf1241	Gulf Arabic	afb	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393/nort3402
dhof1235	Dhofari Arabic	adf	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393/nort3402
oman1239	Omani Arabic	acx	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393/nort3402
baha1259	Baharna Arabic	abv	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393/nort3402
najd1235	Najdi Arabic	ars	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393/nort3402
meso1252	Gilit Mesopotamian Arabic	acm	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/east2729
taji1248	Tajiki Arabic	abh	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/east2729/cent2410
uzbe1248	Qashqa-Darya Arabic	auz	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/east2729/cent2410/xora1234
jude1266	Judeo-Iraqi Arabic	yhd	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/east2729/qelt1235
nort3142	North Mesopotamian Arabic	ayp	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/east2729/qelt1235
east2690	Eastern Egyptian Bedawi Arabic	avl	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251
said1239	Saidi Arabic	aec	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251/egyp1254
egyp1253	Egyptian Arabic	arz	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251/egyp1254
chad1249	Chadian Arabic	shu	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251/egyp1254/suda1235
