Classification	ID	Name
afro1255/cush1243/east2699/lowl1267/sout3055	tran1283	Transversal Lowland East Cushitic
afro1255/cush1243/east2699/lowl1267/sout3055	main1283	Mainstream Lowland East Cushitic
afro1255/cush1243/east2699/lowl1267/sout3055/tran1283	dull1239	Dullay
afro1255/cush1243/east2699/lowl1267/sout3055/main1283	nucl1701	Oromoid
afro1255/cush1243/east2699/lowl1267/sout3055/main1283	omot1245	Omo-Tana
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/nucl1701	kons1242	Konsoid
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/nucl1701	nucl1736	Nuclear Oromo
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/nucl1701/kons1242	gido1236	Gidole-Bussa
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/nucl1701/nucl1736	cent2302	Central-Eastern Oromo
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/nucl1701/nucl1736/cent2302	cent2303	Central Oromo
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/nucl1701/nucl1736/cent2302	sout3218	South-East-North Oromo
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/omot1245	east2653	Eastern Omo-Tana
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/omot1245	west2723	Western Omo-Tana
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/omot1245/east2653	bais1247	Baiso-Jiiddu
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/omot1245/east2653	karr1237	Karre-Boni
afro1255/cush1243/east2699/lowl1267/sout3055/main1283/omot1245/east2653	daba1261	Dabarre-Tunni
afro1255/cush1243/east2699/high1285	sida1247	Sidaama-Hadiyya-Kambaata
afro1255/cush1243/east2699/high1285/sida1247	sida1248	Sidaama-Gedeo
afro1255/cush1243/east2699/high1285/sida1247	hadi1241	Hadiyya-Kambaata
afro1255/cush1243/east2699/high1285/sida1247/hadi1241	hadi1242	Hadiyyaic
afro1255/cush1243/east2699/high1285/sida1247/hadi1241	kamb1318	Kambaataic
afro1255/cush1243/sout3054	west2720	West Rift South Cushitic
afro1255/cush1243/sout3054/west2720	nort3164	Northern West Rift South Cushitic
afro1255/cush1243/sout3054/west2720/nort3164	iraq1240	Iraqwoid
afro1255/cush1243/cent2193	nort3158	Northern-Eastern-Western Agaw
afro1255/cush1243/cent2193/nort3158	nort3163	Northeastern Agaw
afro1255/berb1260	west2724	Western Berber
afro1255/berb1260	tuar1240	Tuareg
afro1255/berb1260	grea1296	Greater Zenatic
afro1255/berb1260	unun9880	Unclassified Berber
afro1255/berb1260	kaby1244	Kabyle-Atlas Berber
afro1255/berb1260/tuar1240	sout3263	Southern Tuareg
afro1255/berb1260/grea1296	siwi1238	Libyan-Egyptian Oases Berber
afro1255/berb1260/grea1296	zena1250	Zenatic
afro1255/berb1260/grea1296/zena1250	moza1250	Northern Saharan Oasis Berber
afro1255/berb1260/grea1296/zena1250	zuar1239	Zuara-Sened
afro1255/berb1260/grea1296/zena1250/moza1250	ouar1239	Ouargli-Oued Righ
afro1255/berb1260/kaby1244	atla1275	Atlas Berber
afro1255/berb1260/kaby1244/atla1275	nort3248	Northwestern Moroccan Berber
anim1240	mari1437	Marind-Boazi-Yaqai
anim1240	tiri1259	Tirio
anim1240	inla1262	Inland Gulf of Papua
anim1240/mari1437	yaqa1245	Yaqayic
anim1240/mari1437	boaz1244	Boazi
anim1240/mari1437	nucl1621	Marindic
anim1240/tiri1259	nucl1713	Nuclear Tirio
anim1240/inla1262	west2867	West Inland Gulf of Papua
anim1240/inla1262/west2867	hoya1236	Hoyaic
nyul1248	east2381	Eastern Nyulnyulan
nyul1248	west2872	Western Nyulnyulan
nyul1248/east2381	unun9988	Unclassified Eastern Nyulnyulan
nyul1248/east2381	yawu1243	Yawuric
nyul1248/east2381	nyik1244	Nyikinic
nyul1248/west2872	bard1254	Bardic
nyul1248/west2872	nyul1250	Nyulnyulic
miwo1274	cost1250	Costanoan
miwo1274	miwo1275	Miwokan
miwo1274/cost1250	sout2986	Southern Costanoan
miwo1274/miwo1275	east2546	Eastern Miwokan
miwo1274/miwo1275	west2633	Western Miwokan
miwo1274/miwo1275/east2546	sier1249	Sierra Miwokan
skoo1245	skou1238	Skou-Serra-Piore
skoo1245/skou1238	skou1239	Skouic
skoo1245/skou1238	serr1253	Serra Hills
skoo1245/skou1238	lago1243	Barupu Lagoon
skoo1245/skou1238/skou1239	east2892	Eastern Skouic
skoo1245/skou1238/skou1239/east2892	west2992	West Coast Skouic
skoo1245/skou1238/serr1253	rawo1243	Rawo-Main Serra
zapa1251	zapa1252	Zaparo-Abishira
zapa1251	iqui1244	Iquito-Arabela
zapa1251/iqui1244	arab1396	Arabela-Andoa
zapa1251/iqui1244	cahu1267	Cahuarano-Iquito
gumu1250	daat1235	Daats'iin-Southern Gumuz
siou1252	cata1285	Catawban
siou1252	core1249	Core Siouan
siou1252/core1249	ohio1234	Ohio Valley Siouan
siou1252/core1249	miss1254	Mississippi Valley
siou1252/core1249	miss1252	Missouri River Siouan
siou1252/core1249/ohio1234	sout2988	Southeastern Siouan
siou1252/core1249/miss1254	dako1257	Dakotan
siou1252/core1249/miss1254	dheg1241	Dhegiha
siou1252/core1249/miss1254	winn1245	Winnebago-Chiwere
siou1252/core1249/miss1254/dako1257	siou1253	Sioux
siou1252/core1249/miss1254/dheg1241	osag1244	Osage-Kansa
peba1241	peba1242	Peba-Yameo
daga1274	sout3380	Southeast Dagan
daga1274	cent2401	Central Dagan
daga1274/cent2401	sout3381	Southwest Dagan
tura1263	tura1264	Turama-Omatian
nucl1710	jabu1249	Jabuti
nucl1710	jeee1236	Je
nucl1710	maxa1249	Maxakali-Borum
nucl1710/jeee1236	jece1235	Je Central
nucl1710/jeee1236	jeme1246	Je Meridional
nucl1710/jeee1236	jese1235	Je Setentrional
nucl1710/jeee1236/jeme1246	kain1270	Kaingang-Xokleng
